group_name,group_value,condition,label,correct,total,accuracy,ci_low,ci_high,gain_vs_A,gain_ci_low,gain_ci_high
source,bird,A,A,18,200,0.09,0.057687,0.137766,,,
source,northwind,A,A,27,189,0.142857,0.100073,0.19987,,,
source,sec_edgar,A,A,50,191,0.26178,0.204572,0.328381,,,
source,bird,B,B wm2,138,200,0.69,0.622828,0.750011,0.6,0.535,0.67
source,northwind,B,B wm2,149,189,0.78836,0.724679,0.840552,0.645503,0.566138,0.719577
source,sec_edgar,B,B wm2,174,191,0.910995,0.862096,0.943687,0.649215,0.575916,0.717277
source,bird,C,C ep3,132,200,0.66,0.591885,0.722085,0.57,0.5,0.635125
source,northwind,C,C ep3,152,189,0.804233,0.741843,0.854502,0.661376,0.582011,0.73545
source,sec_edgar,C,C ep3,165,191,0.863874,0.808018,0.905382,0.602094,0.528796,0.675393
source,bird,D,D sem1,121,200,0.605,0.535883,0.670159,0.515,0.445,0.585
source,northwind,D,D sem1,148,189,0.783069,0.718986,0.835874,0.640212,0.555556,0.714286
source,sec_edgar,D,D sem1,178,191,0.931937,0.887047,0.959796,0.670157,0.602094,0.732984
