group_name,group_value,condition,label,correct,total,accuracy,ci_low,ci_high,gain_vs_A,gain_ci_low,gain_ci_high
turn_band,1-4,A,A,90,360,0.25,0.208068,0.297211,,,
turn_band,5-7,A,A,3,120,0.025,0.008538,0.07093,,,
turn_band,8-10,A,A,2,100,0.02,0.005502,0.070012,,,
turn_band,1-4,B,B wm2,287,360,0.797222,0.752652,0.835517,0.547222,0.488889,0.6
turn_band,5-7,B,B wm2,93,120,0.775,0.692431,0.840508,0.75,0.675,0.825
turn_band,8-10,B,B wm2,81,100,0.81,0.722212,0.874852,0.79,0.7,0.87
turn_band,1-4,C,C ep3,282,360,0.783333,0.737905,0.822779,0.533333,0.477778,0.586111
turn_band,5-7,C,C ep3,83,120,0.691667,0.60417,0.767273,0.666667,0.575,0.758333
turn_band,8-10,C,C ep3,84,100,0.84,0.755797,0.899047,0.82,0.74,0.89
turn_band,1-4,D,D sem1,281,360,0.780556,0.734964,0.820223,0.530556,0.475,0.583333
turn_band,5-7,D,D sem1,76,120,0.633333,0.544224,0.714171,0.608333,0.516667,0.7
turn_band,8-10,D,D sem1,90,100,0.9,0.825634,0.944771,0.88,0.81,0.94
